GET /api 304 - - 382.692 ms | User: Unknown User | Body: {} | Time Taken: 391ms
GET /api/employees 200 171 - 6.156 ms | User: Unknown User | Body: {} | Time Taken: 11ms
GET /api/employees 200 171 - 7.718 ms | User: Unknown User | Body: {} | Time Taken: 13ms
GET /api/employees 404 23 - 1.453 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees 200 171 - 11.015 ms | User: Unknown User | Body: {} | Time Taken: 16ms
GET /api/employees 404 23 - 2.002 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.152 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /999 404 2259 - 336.571 ms | User: Unknown User | Body: {} | Time Taken: 338ms
GET /api/employees 200 171 - 8.300 ms | User: Unknown User | Body: {} | Time Taken: 18ms
GET /api/employees 404 23 - 1.533 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees 200 171 - 11.806 ms | User: Unknown User | Body: {} | Time Taken: 17ms
GET /api/employees 404 23 - 1.539 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees 200 171 - 7.483 ms | User: Unknown User | Body: {} | Time Taken: 14ms
GET /api/employees 404 23 - 1.538 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.195 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 1.021 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees 200 171 - 7.952 ms | User: Unknown User | Body: {} | Time Taken: 12ms
GET /api/employees 404 23 - 1.440 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.540 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.134 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees 200 171 - 11.421 ms | User: Unknown User | Body: {} | Time Taken: 16ms
GET /api/employees 404 23 - 2.255 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.304 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.076 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees 200 171 - 11.717 ms | User: Unknown User | Body: {} | Time Taken: 20ms
GET /api/employees 404 23 - 1.392 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 2.099 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 0.995 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees/ 400 413 - 17.724 ms | User: Unknown User | Body: {"name":"John Doe","mail":"john.doe@example.com","phone":"9876543210","password":"$2b$10$cMIQrxCQrdUSSQMGNZu.XuDi21&#x2F;j5XjpShrx.oOXJVnu9RlQJYk1C"} | Time Taken: 19ms
GET /api/employees 200 171 - 9.574 ms | User: Unknown User | Body: {} | Time Taken: 15ms
GET /api/employees 404 23 - 1.422 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.452 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 0.990 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 400 423 - 15.409 ms | User: Unknown User | Body: {"name":"John Doe","mail":"john.doe@example.com","phone":"9876543210","password":"$2b$10$Oh.8cbTAA&#x2F;&#x2F;d0NvktHg5FOhqcKQ9L&#x2F;nDZb9irJZUl2o6ubxooolcm"} | Time Taken: 17ms
GET /api/employees 200 171 - 7.284 ms | User: Unknown User | Body: {} | Time Taken: 12ms
GET /api/employees 404 23 - 1.429 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.490 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 0.950 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees/ 400 131 - 16.619 ms | User: Unknown User | Body: {"name":"John Doe","mail":"john.doe@example.com","phone":"9876543210","password":"$2b$10$4Xiw1RZ6RtfcttOsQ2gQCuozqpvWDhwV8ov2PXJKqetwQwDrGyrGa"} | Time Taken: 18ms
GET /api/employees 200 171 - 9.870 ms | User: Unknown User | Body: {} | Time Taken: 15ms
GET /api/employees 404 23 - 1.506 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.452 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.640 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 400 305 - 15.569 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"$2b$10$yB7YguL.F2UeM1I1D2MBaerTRbIteUb.I6fP8mQb5eQkOywdvNJMG"} | Time Taken: 17ms
GET /api/employees 200 171 - 11.204 ms | User: Unknown User | Body: {} | Time Taken: 18ms
GET /api/employees 404 23 - 1.409 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.512 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.297 ms | User: Unknown User | Body: {} | Time Taken: 3ms
POST /api/employees/ 400 305 - 16.090 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"$2b$10$9N8F2HNTTP2vFyRE.j4Xd.T7.XmfXQcmDJCN5HFdsHaGv65giTkJW"} | Time Taken: 17ms
GET /api/employees 200 171 - 6.440 ms | User: Unknown User | Body: {} | Time Taken: 10ms
GET /api/employees 404 23 - 1.399 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.564 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.027 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 500 51 - 24.248 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 26ms
GET /api/employees 200 171 - 12.006 ms | User: Unknown User | Body: {} | Time Taken: 21ms
GET /api/employees 404 23 - 1.770 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 3.107 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees/999 404 24 - 1.423 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 500 51 - 24.238 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 25ms
POST /api/employees 500 51 - 155.862 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 161ms
POST /api/employees 400 97 - 85.858 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 92ms
GET /api/employees 200 171 - 9.218 ms | User: Unknown User | Body: {} | Time Taken: 14ms
GET /api/employees 404 23 - 1.482 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.749 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 1.072 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees/ 500 51 - 27.575 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 29ms
GET /api/employees 200 171 - 12.750 ms | User: Unknown User | Body: {} | Time Taken: 18ms
GET /api/employees 404 23 - 1.543 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.478 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 0.975 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees/ 500 51 - 27.965 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 30ms
GET /api/employees 200 171 - 10.060 ms | User: Unknown User | Body: {} | Time Taken: 17ms
GET /api/employees 404 23 - 1.414 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.697 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.388 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 500 51 - 25.247 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 26ms
POST /api/employees 400 260 - 6.483 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword123"} | Time Taken: 8ms
GET /api/employees 200 171 - 12.789 ms | User: Unknown User | Body: {} | Time Taken: 20ms
GET /api/employees 404 23 - 1.453 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.546 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.109 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 500 51 - 21.470 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 23ms
GET /api/employees 200 171 - 8.190 ms | User: Unknown User | Body: {} | Time Taken: 13ms
GET /api/employees 404 23 - 1.790 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.421 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 1.047 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees/ 500 51 - 54.833 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 56ms
POST /api/employees 500 51 - 6.354 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 7ms
GET /api/employees 200 171 - 9.069 ms | User: Unknown User | Body: {} | Time Taken: 15ms
GET /api/employees 404 23 - 1.664 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.578 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.415 ms | User: Unknown User | Body: {} | Time Taken: 3ms
POST /api/employees/ 500 51 - 24.043 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 26ms
POST /api/employees 500 51 - 6.611 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 7ms
GET /api/employees 200 171 - 10.072 ms | User: Unknown User | Body: {} | Time Taken: 16ms
GET /api/employees 404 23 - 1.401 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.549 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 1.638 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees/ 400 97 - 135.853 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 136ms
POST /api/employees 400 97 - 7.264 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 9ms
PUT /api/employees/1 400 139 - 6.526 ms | User: Unknown User | Body: {"name":"John Doe Updated","mail":"john.doe.updated@example.com","phone":"9876543210","password":"NewPassword123"} | Time Taken: 8ms
GET /api/employees 200 171 - 8.047 ms | User: Unknown User | Body: {} | Time Taken: 13ms
GET /api/employees 404 23 - 1.444 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.443 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 1.137 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 400 97 - 86.762 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"9876543210","password":"TestPassword@2123"} | Time Taken: 88ms
POST /api/employees 400 97 - 8.993 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 10ms
PUT /api/employees/1 400 139 - 3.558 ms | User: Unknown User | Body: {"name":"John Doe Updated","mail":"john.doe.updated@example.com","phone":"9876543210","password":"NewPassword123"} | Time Taken: 5ms
GET /api/employees 200 171 - 6.917 ms | User: Unknown User | Body: {} | Time Taken: 12ms
GET /api/employees 404 23 - 1.504 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.558 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.115 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 400 145 - 18.218 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"134679852","password":"TestPassword@2123"} | Time Taken: 19ms
POST /api/employees 400 97 - 67.044 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 67ms
PUT /api/employees/1 400 139 - 3.585 ms | User: Unknown User | Body: {"name":"John Doe Updated","mail":"john.doe.updated@example.com","phone":"9876543210","password":"NewPassword123"} | Time Taken: 5ms
GET /api/employees 200 171 - 9.065 ms | User: Unknown User | Body: {} | Time Taken: 14ms
GET /api/employees 404 23 - 1.465 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.879 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 0.998 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 400 145 - 16.487 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"134679852","password":"TestPassword@2123"} | Time Taken: 19ms
GET /api/employees 200 171 - 9.381 ms | User: Unknown User | Body: {} | Time Taken: 14ms
GET /api/employees 404 23 - 2.238 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.519 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 24 - 1.126 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 400 145 - 19.179 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"134679852","password":"TestPassword@2123"} | Time Taken: 21ms
GET /api/employees 200 171 - 8.437 ms | User: Unknown User | Body: {} | Time Taken: 12ms
GET /api/employees 404 23 - 1.373 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 168 - 1.762 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.059 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 500 51 - 25.336 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 27ms
GET /api/employees 200 171 - 11.682 ms | User: Unknown User | Body: {} | Time Taken: 16ms
GET /api/employees 404 23 - 2.713 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees/1 200 168 - 1.146 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 2.056 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 500 51 - 23.562 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 26ms
GET /api/employees 200 171 - 9.330 ms | User: Unknown User | Body: {} | Time Taken: 16ms
GET /api/employees 404 23 - 1.431 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/1 200 168 - 1.523 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/employees/999 404 24 - 1.123 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 500 51 - 216.243 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 219ms
PUT /api/employees/1 400 139 - 5.658 ms | User: Unknown User | Body: {"name":"John Doe Updated","mail":"john.doe.updated@example.com","phone":"9876543210","password":"NewPassword123"} | Time Taken: 7ms
