POST /api/employees 400 97 - 36.669 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 38ms
POST /api/employees 201 16 - 60.825 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 2.083 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 56.219 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 57ms
PUT /api/employees/999 400 588 - 1.452 ms | User: Unknown User | Body: {"name":"Non Existing Employee","mail":"@","phone":""} | Time Taken: 2ms
GET /api/employees 200 171 - 2.809 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.783 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 170 - 0.810 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.494 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.679 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 1.891 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 55.385 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 56ms
PUT /api/employees/999 400 588 - 1.277 ms | User: Unknown User | Body: {"name":"Non Existing Employee","mail":"@","phone":""} | Time Taken: 2ms
GET /api/employees 200 171 - 2.876 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.629 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.687 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.491 ms | User: Unknown User | Body: {} | Time Taken: 0ms
POST /api/employees 201 16 - 63.070 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 64ms
POST /api/employees 400 97 - 2.117 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 55.981 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 56ms
PUT /api/employees/999 400 588 - 1.328 ms | User: Unknown User | Body: {"name":"Non Existing Employee","mail":"@","phone":""} | Time Taken: 2ms
GET /api/employees 200 171 - 2.844 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.786 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/1 200 170 - 0.870 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.477 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.739 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 1.955 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 56.208 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 57ms
PUT /api/employees/999 400 588 - 1.365 ms | User: Unknown User | Body: {"name":"Non Existing Employee","mail":"@","phone":""} | Time Taken: 2ms
GET /api/employees 200 171 - 2.849 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.625 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.639 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.417 ms | User: Unknown User | Body: {} | Time Taken: 0ms
POST /api/employees 201 16 - 60.246 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 60ms
POST /api/employees 400 97 - 1.990 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 64.863 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 65ms
PUT /api/employees/999 400 588 - 1.388 ms | User: Unknown User | Body: {"name":"Non Existing Employee","mail":"@","phone":""} | Time Taken: 2ms
GET /api/employees 200 171 - 2.832 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.647 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.639 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.530 ms | User: Unknown User | Body: {} | Time Taken: 0ms
POST /api/employees 201 16 - 60.396 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 1.958 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 3ms
PUT /api/employees/1 200 59 - 57.833 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 58ms
PUT /api/employees/999 404 60 - 1.776 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900"} | Time Taken: 2ms
DELETE /api/employees/1 200 66 - 0.552 ms | User: Unknown User | Body: {} | Time Taken: 1ms
DELETE /api/employees/999 404 60 - 0.503 ms | User: Unknown User | Body: {} | Time Taken: 0ms
GET /api/employees 200 171 - 2.791 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.654 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.831 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.459 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.213 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 1.975 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 57.694 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 58ms
PUT /api/employees/999 404 60 - 1.471 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900"} | Time Taken: 2ms
DELETE /api/employees/1 200 66 - 0.551 ms | User: Unknown User | Body: {} | Time Taken: 1ms
DELETE /api/employees/999 404 60 - 0.482 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees 200 171 - 2.823 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.675 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.882 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 22 - 0.510 ms | User: Unknown User | Body: {} | Time Taken: 0ms
POST /api/employees 201 16 - 61.262 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 62ms
POST /api/employees 400 97 - 2.026 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 56.469 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 57ms
PUT /api/employees/999 404 60 - 1.183 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900"} | Time Taken: 1ms
DELETE /api/employees/1 200 66 - 0.518 ms | User: Unknown User | Body: {} | Time Taken: 1ms
DELETE /api/employees/999 404 60 - 0.436 ms | User: Unknown User | Body: {} | Time Taken: 0ms
GET /api/employees 200 171 - 3.748 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.644 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.856 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.527 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.069 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 2.077 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 3ms
PUT /api/employees/1 200 59 - 55.570 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 56ms
PUT /api/employees/999 404 60 - 1.334 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900"} | Time Taken: 2ms
DELETE /api/employees/1 200 66 - 0.567 ms | User: Unknown User | Body: {} | Time Taken: 1ms
DELETE /api/employees/999 404 60 - 0.479 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees 200 326 - 33.081 ms | User: Unknown User | Body: {} | Time Taken: 36ms
GET /api/employees/1 200 170 - 3.650 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees/10 404 22 - 1.910 ms | User: Unknown User | Body: {} | Time Taken: 2ms
POST /api/employees 400 97 - 8.335 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 9ms
POST /api/employees 201 16 - 66.614 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik0a1@gmail.com","phone":"1234179900","password":"Karthik@a123"} | Time Taken: 67ms
PUT /api/employees/1 200 59 - 4.156 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 5ms
PUT /api/employees/10 404 60 - 2.435 ms | User: Unknown User | Body: {"name":"Akask","mail":"akasj@gmail.com","phone":"9876543210"} | Time Taken: 3ms
DELETE /api/employees/4 404 60 - 1.357 ms | User: Unknown User | Body: {} | Time Taken: 2ms
DELETE /api/employees/2 404 60 - 1.917 ms | User: Unknown User | Body: {} | Time Taken: 2ms
DELETE /api/employees/5 200 66 - 5.931 ms | User: Unknown User | Body: {} | Time Taken: 7ms
GET /api/employees 200 171 - 2.775 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.631 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.798 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.511 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 60.186 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 61ms
POST /api/employees 400 97 - 2.004 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 55.337 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 56ms
PUT /api/employees/999 404 60 - 1.244 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900"} | Time Taken: 1ms
DELETE /api/employees/1 200 66 - 0.494 ms | User: Unknown User | Body: {} | Time Taken: 1ms
DELETE /api/employees/999 404 60 - 0.490 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees 200 171 - 2.748 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/employees 404 23 - 0.735 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.796 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 22 - 0.462 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 7.115 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 8ms
POST /api/employees 400 97 - 2.036 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 500 51 - 4.376 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 5ms
GET /api/employees 200 171 - 2.805 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.576 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.962 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/employees/999 404 22 - 0.589 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 6.891 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 8ms
POST /api/employees 400 97 - 2.114 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 1.870 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 2ms
PUT /api/employees/999 404 60 - 1.177 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900"} | Time Taken: 1ms
DELETE /api/employees/1 200 66 - 0.624 ms | User: Unknown User | Body: {} | Time Taken: 1ms
DELETE /api/employees/999 404 60 - 0.529 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 400 164 - 8.730 ms | User: Unknown User | Body: {"name":"Karthikeyan D","mail":"karthik@123","phone":"1234567890","password":"Karthik@123"} | Time Taken: 11ms
POST /api/employees 500 51 - 77.174 ms | User: Unknown User | Body: {"name":"Karthikeyan D","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 78ms
POST /api/employees 500 51 - 74.690 ms | User: Unknown User | Body: {"name":"Karthikeyan D","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 76ms
POST /api/employees 201 16 - 130.001 ms | User: Unknown User | Body: {"name":"Karthikeyan D","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 132ms
POST /api/employees 400 97 - 38.047 ms | User: Unknown User | Body: {"name":"Karthikeyan D","mail":"karthik@gmail.com","phone":"1234567890","password":"Karthik@123"} | Time Taken: 40ms
POST /api/auth/login 404 43 - 3.488 ms | User: Unknown User | Body: {"mail":"karthika@gmail.com","password":"Karthik@123"} | Time Taken: 4ms
POST /api/auth/login 400 171 - 1.712 ms | User: Unknown User | Body: {"mail":"@karthikagmail.com","password":"Karthika@123"} | Time Taken: 3ms
POST /api/auth/login 404 43 - 2.749 ms | User: Unknown User | Body: {"mail":"karthika@gmail.com","password":"Karthik@123"} | Time Taken: 3ms
POST /api/auth/login 404 60 - 32.306 ms | User: Unknown User | Body: {"mail":"karthika@gmail.com","password":"Karthik@123"} | Time Taken: 35ms
POST /api/auth/login 500 51 - 7.439 ms | User: Unknown User | Body: {"mail":"karthik@gmail.com","password":"Karthikm@123"} | Time Taken: 9ms
POST /api/auth/login 401 46 - 120.193 ms | User: Unknown User | Body: {"mail":"karthik@gmail.com","password":"Karthikm@123"} | Time Taken: 122ms
POST /api/auth/login 200 396 - 60.307 ms | User: Unknown User | Body: {"mail":"karthik@gmail.com","password":"Karthik@123"} | Time Taken: 61ms
POST /api/auth/login 401 46 - 57.217 ms | User: Unknown User | Body: {"mail":"karthik@gmail.com","password":"Karthikm@123"} | Time Taken: 58ms
POST /api/auth/login 200 396 - 125.552 ms | User: Unknown User | Body: {"mail":"karthik@gmail.com","password":"Karthik@123"} | Time Taken: 128ms
POST /api/auth/login 404 60 - 33.459 ms | User: Unknown User | Body: {"mail":"xyz@gmail.com","password":"Karthik@123"} | Time Taken: 35ms
POST /api/auth/login 401 46 - 126.507 ms | User: Unknown User | Body: {"mail":"karthik@gmail.com","password":"Karthiak@123"} | Time Taken: 129ms
GET /api/employees 200 181 - 30.498 ms | User: Unknown User | Body: {} | Time Taken: 33ms
GET /api/employees 200 171 - 2.779 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/employees 404 23 - 0.630 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/1 200 170 - 0.863 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/employees/999 404 22 - 0.678 ms | User: Unknown User | Body: {} | Time Taken: 1ms
POST /api/employees 201 16 - 91.561 ms | User: Unknown User | Body: {"name":"Doe","mail":"john.doe@example.com","phone":"1346798520","password":"TestPassword@2123"} | Time Taken: 92ms
POST /api/employees 400 97 - 1.964 ms | User: Unknown User | Body: {"name":"JaneDoe","mail":"karthik01@gmail.com","phone":"1234178900","password":"TestPassword@2123"} | Time Taken: 2ms
PUT /api/employees/1 200 59 - 1.679 ms | User: Unknown User | Body: {"name":"karthik","mail":"karthik01@gmail.com","phone":"1234178900","password":"Karthik@123"} | Time Taken: 1ms
